Reporter Name;Partner Name;Trade Flow;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Fiji;Export;Export Share in Total Products (%);1,4916;1,3067;2,0319;1,2225;1,2458;1,7241;1,5612;1,6068;1,8761;1,9616;2,8499;2,402;2,901;2,6684;2,6386;2,2484;1,7988;2,2869;3,0635;3,2497;3,2424;4,2972;4,2506;4,117;4,4941;3,934
Italy;Finland;Export;Export Share in Total Products (%);51,0625;50,1633;52,2911;52,0721;53,1977;54,1338;59,4505;59,6411;59,8229;58,996;59,3836;59,4185;60,2691;62,3304;62,3503;61,2645;63,4244;64,6536;65,4293;65,2846;64,8927;65,5551;66,3982;66,7042;67,2764;68,4377
Italy;Fm Sudan;Export;Export Share in Total Products (%);8,0711;7,9829;7,8167;8,3299;8,9909;10,6772;9,9292;11,5609;12,6476;12,8876;13,7007;16,1399;16,0395;16,4999;15,6763;14,4479;13,6354;13,1217;;;;;;;;
Italy;Fr. So. Ant. Tr;Export;Export Share in Total Products (%);;;;;;;;;;;0,0211;0,0421;0,042;;0,0222;;0,1555;0,333;0,3354;0,3362;0,2013;0,0224;0,0671;0,045;0,0452;0,0904
Italy;France;Export;Export Share in Total Products (%);89,4565;90,2613;91,2295;90,116;90,4277;91,4001;93,776;93,4057;93,3811;92,3645;93,5824;92,8993;92,9788;94,3518;94,1685;94,3678;94,9145;95,1821;95,5054;94,9574;94,7674;94,897;95,5705;95,1856;94,6025;94,8677
Italy;Free Zones;Export;Export Share in Total Products (%);11,5243;1,8783;26,5602;6,7758;7,0183;9,6593;;;;;;;;;;;;;;;;;;;;
Italy;French Guiana;Export;Export Share in Total Products (%);3,5145;4,9408;;;;;;;;;;;;;;;;;;;;;;;;
Italy;French Polynesia;Export;Export Share in Total Products (%);7,7033;8,9424;8,9156;9,656;10,2782;9,1608;10,2415;10,2254;10,6239;10,9049;10,9141;10,8091;11,0994;10,1623;10,0222;9,4835;8,9496;9,1696;8,5868;8,7853;9,2129;9,5121;9,7539;9,7413;10,14;10,4454
Italy;Gabon;Export;Export Share in Total Products (%);8,2346;9,1466;10,0767;10,4227;12,2716;10,1163;9,9709;10,3506;9,9705;10,9682;10,3019;10,1349;10,0063;10,7183;11,02;10,4853;11,1925;13,2549;14,5349;13,9175;14,4902;13,7869;12,5503;11,631;12,8275;12,7741
Italy;Gambia, The;Export;Export Share in Total Products (%);2,7789;2,1233;2,4673;2,673;2,2633;2,2642;2,2065;3,0259;4,3002;3,8178;3,2299;3,1606;3,5316;3,38;2,9712;3,3393;2,7093;2,8197;2,5045;2,8911;2,8399;3,5363;3,0872;2,9021;3,794;3,3688
