Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Croatia;Import;  All Products;Import (US$ Thousand);824932,352;971396,8;828428,928;733352,64;687265,792;713085,887;723980,826;784343,829;847719,553;1147579,302;1567380,385;1441159,29;1567393,567;1690621,23;1740093,156;1903084,941;1996390,448;2110356,642;1597571,163;1711113,642;1861509,533;1563814,302;1689041,453;1832384,399;2148497,595;2109551,313
Italy;Cuba;Import;  All Products;Import (US$ Thousand);50281,396;54028,096;37891,912;18907,71;13263,739;13268,275;26374,678;13931,726;14820,3;15449,545;16481,693;11764,536;19746,304;26166,573;72632,176;31538,945;34172,89;89123,55;61084,435;93976,991;28242,928;24614,11753;21599,5722;23061,08252;16721,47135;17247,89011
Italy;Curaçao;Import;  All Products;Import (US$ Thousand);;;;;;;;;;;;;;;;;;46118,182;438,708;14,825;;;;;9415,361879;9692,21117
Italy;Cyprus;Import;  All Products;Import (US$ Thousand);15082,255;15251,249;13972,438;20404,836;9896,67;27809,943;22996,688;14871,613;19653,798;20492,879;24047,302;72425,671;63180,735;94424,812;182525,185;60056,993;221875,08;126161,108;146416,081;74609,478;84622,798;87813,53407;72937,3742;92884,14322;122587,7172;183646,4959
Italy;Czech Republic;Import;  All Products;Import (US$ Thousand);670817,728;819849,6;785767,552;856549,12;994299,264;909642,659;1040128,255;1250501,464;1451491,779;1843491,35;2230350,822;3012288,066;3951535,796;5467264,399;6153657,466;4642558,872;5938293,909;6817514,54;5818610,019;5924316,907;6452915,531;6143257,911;7009056,186;7354679,965;7968367,762;7834793,47
Italy;Denmark;Import;  All Products;Import (US$ Thousand);1660725,504;1869425,664;1923371,648;1751856,384;1858297,472;1818225,714;1629566,887;1707262,09;1718069,687;2177360,186;2623006,678;2787570,97;2989300,767;3268749,681;3415969,536;3126251,675;2808040,192;3094604,8;2819159,007;2670575,794;2727484,815;2403234,757;2448646,018;2829810,494;3035700,679;2931289,505
Italy;Djibouti;Import;  All Products;Import (US$ Thousand);747,069;5737,058;945,096;204,236;2319,953;1670,965;1765,348;1732,595;1042,387;648,106;452,942;3597,135;2927,436;2678,784;3408,9;2033,449;3050,309;2203,582;1963,599;936,483;453,038;1447,959082;1081,460552;1308,574255;1167,137989;63,47350264
Italy;Dominica;Import;  All Products;Import (US$ Thousand);1371,697;759,315;128,697;122,793;62,042;235,798;223,028;784,977;199,806;300,604;347,61;113,212;72,838;82,985;302,114;223,353;117,025;16,728;;9,054;2206,394;62,16257099;51,43432737;12,61272035;44,95506913;17,42210105
Italy;Dominican Republic;Import;  All Products;Import (US$ Thousand);29043,94;22647,7;25695,46;32043,796;30433,114;20941,229;21464,44;23180,061;31153,045;28100,439;36043,705;37521,959;58425,092;51481,244;65056,641;24727,78;50747,102;48138,348;59663,913;84842,892;43427,131;35712,03765;54539,32503;63063,77235;85902,13139;65242,0659
Italy;East Timor;Import;  All Products;Import (US$ Thousand);;;;;;;;;70,229;64,582;27,917;1,998;9,092;;40,406;;;;;6,937;11,59;11,15314677;54,75088679;85,88489798;146,8944383;183,3659061
Italy;Ecuador;Import;  All Products;Import (US$ Thousand);145064;145181,28;168912,448;195513,168;210560,048;243284,716;182311,372;200958,234;274184,531;284155,08;295912,381;389168,539;394008,308;414959,077;511211,171;494874,734;470911,21;561158,799;437563,26;489783,645;537169,295;345143,1602;389723,4043;537745,5555;598720,646;485922,776
Italy;Egypt, Arab Rep.;Import;  All Products;Import (US$ Thousand);1206858,88;1096237,184;1155972,608;877722,56;730539,584;959702,901;1041256,973;972677,403;1059573,016;1120212,23;1587151,372;1582450,765;2673998,196;2491327,308;3296299,636;2009387,696;2520106,381;3516951,699;2952327,328;2486292,819;3181166,068;2201991,945;1700113,333;2062338,608;2489187,624;2159105,712
Italy;El Salvador;Import;  All Products;Import (US$ Thousand);5204,012;8412,506;9773,78;12237,906;9210,391;5032,678;5725,984;3089,239;7470,078;4787,975;4825,71;8784,671;7232,156;13013,549;12831,166;12978,962;13414,602;23409,27;23945,912;23772,423;25939,822;25122,7465;30200,27475;31908,42909;37838,73122;27359,65024
Italy;Equatorial Guinea;Import;  All Products;Import (US$ Thousand);2436,718;2423,406;693,503;921,642;1010,647;1182,847;562,268;722,928;25998,342;183796,122;165662,203;239702,909;193664,472;173339,42;913877,753;453759,144;963727,004;1397408,474;797772,738;19604,853;1291,25;270943,9114;238948,6673;143444,5838;255582,6882;57500,6934
Italy;Eritrea;Import;  All Products;Import (US$ Thousand);;166,545;1780,844;3334,188;2914,764;2214,474;1753,945;3537,084;2815,795;1402,653;1724,977;2134,276;3046,493;5371,217;3990,587;3708,691;3783,4;4690,669;3663,831;3290,586;3718,454;2808,231469;2455,746308;2332,147803;2581,049557;1916,904706
Italy;Estonia;Import;  All Products;Import (US$ Thousand);16281,03;19038,766;24319,698;22328,548;25794,24;36914,293;39617,99;47666,712;48677,857;63049,99;57346,621;57222,734;83457,043;104166,824;149844,921;108830,779;114391,814;224615,727;130121,151;112652,525;139554,192;150139,2216;130196,7271;152504,6915;167376,89;152684,2427
Italy;Eswatini;Import;  All Products;Import (US$ Thousand);;;;;;;9842,586;5573,952;4812,867;5411,142;4972,663;3505,369;7427,584;12522,698;9865,599;26897,972;36485,322;49942,729;47565,43;77197,399;28673,033;7597,756515;7661,971317;22740,62746;14433,75323;26252,30504
Italy;Ethiopia(excludes Eritrea);Import;  All Products;Import (US$ Thousand);36121,328;52540,136;53419,12;55507,772;47799,088;34303,642;36276,458;46398,692;47149,217;43455,34;40925,823;58622,687;62133,383;86850,551;89032,662;61229,09;60029,299;119644,446;71832,245;68842,34;74987,296;64357,35387;57328,33799;55658,7125;67049,37158;78681,81008
Italy;Faeroe Islands;Import;  All Products;Import (US$ Thousand);135,508;9,45;60,846;1,879;2043,889;224,84;137,42;;130,383;272,019;275,062;7,917;363,3;504,529;288,538;13,404;15,196;57,839;46,445;99,097;20,112;75,82919668;193,6746798;486,5511653;653,9022303;817,147033
Italy;Falkland Island;Import;  All Products;Import (US$ Thousand);3897,535;;516,734;5,395;964,239;124,316;484,589;488,365;229,7;5,247;20,71;79,718;62,724;214,597;377,605;48,435;129,705;130,673;5,466;105,04;;6,908184792;;;361,1913393;271,3329056
Italy;Fiji;Import;  All Products;Import (US$ Thousand);1468,137;1036,059;413,919;428,379;345,957;1122,162;1234,067;231,497;265,838;445,845;359,509;298,405;459,807;383,859;300,545;186,521;149,723;313,336;4,571;231,386;83,315;13264,23724;130,0405468;16429,68043;81,83233893;58,8450748
Italy;Finland;Import;  All Products;Import (US$ Thousand);966365,376;1194799,744;1111266,304;1236166,656;1581089,792;1737283,14;2097421,199;1589618,298;1573171,827;2050299,468;1926746,113;2254339,887;2804674,633;2768717,924;3387999,205;2014748,992;1920660,547;1952067,369;1965636,564;1761880,065;1854090,203;1477731,719;1480699,698;1695664,388;1890666,466;2780101,953
Italy;Fm Sudan;Import;  All Products;Import (US$ Thousand);74061,304;67591,336;43484,3;70368,64;66664,688;57762,792;40183,762;38136,166;71552,841;64365,416;25731,802;21009,802;30765,937;53825,777;29596,84;11357,476;8836,484;336598,5;;;;;;;;
Italy;Fr. So. Ant. Tr;Import;  All Products;Import (US$ Thousand);;;;;;;;;;75,996;;;32,611;37,491;;161,612;;2,017;;;;5,983100316;;;1,522418138;
Italy;France;Import;  All Products;Import (US$ Thousand);22781134,85;28309823,49;28240934,91;27478147,07;28397062,14;27627109,47;26816321,78;26500217,63;28137462,79;33671121,48;38615241,28;38113066,99;40855461,69;46399466,63;47798968,08;36629140,91;42501051,07;46518100,1;40615044,94;40512971,28;40912570,99;35686743,38;36249046,75;39622640,11;43291591,4;38992513,31
Italy;Free Zones;Import;  All Products;Import (US$ Thousand);18,499;35,501;;;;;;;;;;;;;;;;;;;;;;;;
Italy;French Guiana;Import;  All Products;Import (US$ Thousand);1296,562;688,487;;;;;;;;;;;;;;;;;;;;;;;;
Italy;French Polynesia;Import;  All Products;Import (US$ Thousand);195,997;518,156;783,459;1165,659;11078,425;4606,252;3715,47;1892,343;1301,811;817,462;5012,15;1892,417;2585,846;2997,386;6362,542;1658,578;1440,286;4904,923;1226,919;1212,804;8293,932;4950,980017;3910,401658;3295,674228;3890,046657;2829,125962
Italy;Gabon;Import;  All Products;Import (US$ Thousand);27033,436;37452,688;39286,372;26570,63;38711,432;30678,617;41312,207;36957,59;40246,048;56639,318;88295,182;90556,817;88221,448;96937,59;336917,319;55174,857;145982,047;228494,363;222270,377;321275,602;349733,28;517829,7753;391648,8441;231846,5804;219814,8641;199192,8163
Italy;Gambia, The;Import;  All Products;Import (US$ Thousand);69,45;1383,742;147,355;491,071;408,957;428,803;274,205;55,675;3600,785;856,487;3471,568;;1799,34;4,465;;17,03;33,185;41,545;61,002;4,828;2877,156;1237,073098;299,4704914;1471,815439;569,4127517;4916,092363
Italy;Georgia;Import;  All Products;Import (US$ Thousand);4319,001;7747,911;4087,343;17782,862;17264,004;29226,444;96406,43;18210,719;21722,997;17301,356;24432,216;40871,329;34275,706;48150,24;48698,028;47116,422;26151,169;112410,537;57990,311;100884,598;129900,56;157185,0466;70751,00265;60061,25575;62534,06968;54611,31167
Italy;Germany;Import;  All Products;Import (US$ Thousand);32310890,5;38951923,71;38550175,74;37441060,86;40543563,78;42155793,38;41773358,34;42073508,82;43896559,67;53043951,69;62953161,22;65714030,98;72854378,45;86163827,82;87906770,18;69147023,16;78066504,97;86732501,96;70899283,79;70767315,8;72235117,3;63879387,59;66325179,52;74294042,71;82968374,91;76778931,41
Italy;Ghana;Import;  All Products;Import (US$ Thousand);83195,544;63572,728;160472,016;57649,08;236276,32;189985,381;77654,027;67958,182;75769,485;101442,034;89227,138;95546,243;88205,823;90011,265;91734,786;70494,031;87930,847;746888,509;1075518,252;870007,666;713928,987;382223,1305;247171,7666;184037,473;170666,1288;339923,5607
Italy;Gibraltar;Import;  All Products;Import (US$ Thousand);559,367;159,927;345,945;1568,382;417,025;1706,235;415,578;23327,607;3844,232;1819,859;7303,001;25439,623;6871,347;8004,723;14263,393;20970,675;29657,658;44284,718;836,414;70923,127;61679,558;50488,99654;6728,169565;19706,47625;44441,74709;21,00930057
